Date,"Model Prediction (1=buy, 0=skip)",Profit Model Strategy,Profit Always Buy Strategy
2024-09-11,0,0.0,-3.469999999999999
2024-09-12,1,-1.8100000000000023,-1.8100000000000023
2024-09-13,1,-0.9899999999999807,-0.9899999999999807
2024-09-16,1,2.6699999999999875,2.6699999999999875
2024-09-17,1,2.219999999999999,2.219999999999999
2024-09-18,1,14.320000000000022,14.320000000000022
2024-09-20,1,4.360000000000014,4.360000000000014
2024-09-23,1,4.0800000000000125,4.0800000000000125
2024-09-24,1,-1.7300000000000182,-1.7300000000000182
2024-09-25,1,3.580000000000041,3.580000000000041
2024-09-26,1,3.1599999999999966,3.1599999999999966
2024-09-27,1,-1.419999999999959,-1.419999999999959
2024-09-30,1,1.0400000000000205,1.0400000000000205
2024-10-01,1,-10.46999999999997,-10.46999999999997
2024-10-02,1,-4.5400000000000205,-4.5400000000000205
2024-10-03,1,8.340000000000003,8.340000000000003
2024-10-07,1,2.7299999999999898,2.7299999999999898
2024-10-08,1,-0.6800000000000068,-0.6800000000000068
2024-10-09,1,0.7599999999999909,0.7599999999999909
2024-10-10,1,-18.640000000000015,-18.640000000000015
2024-10-11,1,2.2099999999999795,2.2099999999999795
2024-10-15,1,1.8300000000000125,1.8300000000000125
2024-10-16,1,0.2599999999999909,0.2599999999999909
2024-10-17,1,-1.9899999999999807,-1.9899999999999807
2024-10-21,1,-1.539999999999992,-1.539999999999992
2024-10-22,1,-0.8400000000000034,-0.8400000000000034
2024-10-23,1,31.03,31.03
2024-10-24,1,9.519999999999982,9.519999999999982
2024-10-28,0,0.0,2.0
2024-10-29,1,-1.4799999999999613,-1.4799999999999613
2024-10-30,1,0.4399999999999977,0.4399999999999977
