date,actual_close,predicted_close
2024-12-02,352.3800048828125,406.20474847444814
2024-12-03,351.79998779296875,384.2895187324591
2024-12-04,353.0,406.8226225927778
2024-12-05,359.8699951171875,413.58971379557534
2024-12-06,377.4200134277344,425.1425288886312
2024-12-09,397.6099853515625,389.74074126779226
2024-12-10,392.6799926757813,422.07221861850246
2024-12-11,409.7000122070313,418.48531521328346
2024-12-12,424.8399963378906,428.755435994175
2024-12-13,420.0,400.2466692582489
2024-12-16,441.0899963378906,404.3937847185032
2024-12-17,475.8999938964844,354.2743147735837
2024-12-18,466.5,423.7720999427544
2024-12-19,451.8800048828125,412.3119848731307
2024-12-20,425.510009765625,424.6850041824209
2024-12-23,431.0,466.69056819057283
2024-12-24,435.8999938964844,393.99412078604746
2024-12-26,465.1600036621094,424.6909363803349
2024-12-27,449.5199890136719,412.19191678114913
2024-12-30,419.3999938964844,442.54485146880756
