Date,"Model Prediction (1=buy, 0=skip)",Profit Model Strategy,Profit Always Buy Strategy
2024-01-03,0,0.0,-2.3100000000000023
2024-01-08,0,0.0,-5.349999999999994
2024-01-10,0,0.0,-3.3700000000000045
2024-01-11,0,0.0,-12.120000000000005
2024-01-16,0,0.0,-5.049999999999983
2024-01-17,0,0.0,1.329999999999984
2024-01-18,0,0.0,0.37999999999999545
2024-01-22,0,0.0,2.5
2024-01-23,0,0.0,2.740000000000009
2024-01-24,0,0.0,-18.130000000000024
2024-01-25,0,0.0,3.0
2024-01-29,0,0.0,4.400000000000006
2024-01-30,0,0.0,-4.590000000000003
2024-02-01,0,0.0,-3.8200000000000216
2024-02-02,0,0.0,-3.6500000000000057
2024-02-05,1,7.939999999999998,7.939999999999998
2024-02-08,0,0.0,2.5500000000000114
2024-02-12,1,-4.139999999999986,-4.139999999999986
2024-02-13,1,1.2800000000000011,1.2800000000000011
2024-02-14,1,0.44999999999998863,0.44999999999998863
2024-02-15,0,0.0,-4.319999999999993
2024-02-20,1,-0.39999999999997726,-0.39999999999997726
2024-02-21,1,-0.7700000000000102,-0.7700000000000102
2024-02-22,1,-2.0999999999999943,-2.0999999999999943
2024-02-23,1,0.3199999999999932,0.3199999999999932
2024-02-26,0,0.0,4.639999999999986
2024-02-27,1,0.6899999999999977,0.6899999999999977
2024-02-28,1,2.140000000000015,2.140000000000015
2024-03-04,0,0.0,-5.089999999999975
2024-03-05,0,0.0,-0.75
2024-03-06,0,0.0,-2.1899999999999977
2024-03-07,0,0.0,2.8499999999999943
2024-03-08,0,0.0,0.10999999999998522
2024-03-11,0,0.0,0.0
2024-03-12,0,0.0,-4.489999999999981
2024-03-13,0,0.0,-1.7099999999999795
2024-03-14,0,0.0,7.52000000000001
2024-03-18,0,0.0,-1.4399999999999977
2024-03-19,0,0.0,5.069999999999993
2024-03-21,0,0.0,-6.1299999999999955
2024-03-22,0,0.0,-2.0700000000000216
2024-03-25,0,0.0,5.950000000000017
2024-03-26,0,0.0,3.740000000000009
2024-03-27,0,0.0,-2.380000000000024
2024-04-01,0,0.0,-10.469999999999999
2024-04-02,0,0.0,2.450000000000017
2024-04-05,1,4.439999999999998,4.439999999999998
2024-04-08,0,0.0,-0.06999999999999318
2024-04-09,0,0.0,-4.329999999999984
2024-04-11,0,0.0,-4.359999999999985
2024-04-15,0,0.0,-4.739999999999981
2024-04-16,0,0.0,0.5299999999999727
2024-04-17,0,0.0,-4.199999999999989
2024-04-18,0,0.0,-0.960000000000008
2024-04-19,0,0.0,-6.490000000000009
2024-04-22,0,0.0,1.2800000000000011
2024-04-23,0,0.0,18.159999999999997
2024-04-24,0,0.0,-3.1699999999999875
2024-04-25,0,0.0,18.23999999999998
2024-04-29,0,0.0,-7.070000000000022
2024-05-01,0,0.0,2.8700000000000045
2024-05-02,0,0.0,2.0900000000000034
2024-05-03,0,0.0,2.6100000000000136
2024-05-06,0,0.0,-2.359999999999985
2024-05-07,0,0.0,-6.219999999999999
2024-05-08,0,0.0,0.28999999999999204
2024-05-09,0,0.0,-1.9699999999999989
2024-05-13,0,0.0,2.6100000000000136
2024-05-14,0,0.0,2.3499999999999943
2024-05-15,0,0.0,0.10999999999998522
2024-05-16,0,0.0,-1.289999999999992
2024-05-17,0,0.0,0.09999999999999432
2024-05-20,0,0.0,0.5600000000000023
2024-05-21,0,0.0,-3.75
2024-05-22,0,0.0,1.6899999999999977
2024-05-23,0,0.0,2.6599999999999966
2024-05-28,0,0.0,-2.5600000000000023
2024-05-29,0,0.0,2.390000000000015
2024-06-04,1,-0.17000000000001592,-0.17000000000001592
2024-06-06,1,-1.8799999999999955,-1.8799999999999955
2024-06-10,1,0.12999999999999545,0.12999999999999545
2024-06-11,1,0.46000000000000796,0.46000000000000796
2024-06-12,1,11.099999999999994,11.099999999999994
2024-06-13,1,-4.550000000000011,-4.550000000000011
2024-06-17,1,-0.8799999999999955,-0.8799999999999955
2024-06-18,1,-0.18000000000000682,-0.18000000000000682
2024-06-20,1,3.4000000000000057,3.4000000000000057
2024-06-24,1,1.8199999999999932,1.8199999999999932
2024-06-25,1,-0.8100000000000023,-0.8100000000000023
2024-06-26,1,-1.200000000000017,-1.200000000000017
2024-07-01,1,9.029999999999973,9.029999999999973
2024-07-02,1,3.3000000000000114,3.3000000000000114
2024-07-03,1,1.3200000000000216,1.3200000000000216
2024-07-08,1,-1.9399999999999977,-1.9399999999999977
2024-07-09,1,0.4700000000000273,0.4700000000000273
2024-07-10,1,0.040000000000020464,0.040000000000020464
2024-07-11,1,-5.22999999999999,-5.22999999999999
2024-07-12,1,7.740000000000009,7.740000000000009
2024-07-15,1,2.670000000000016,2.670000000000016
2024-07-16,1,-5.469999999999999,-5.469999999999999
2024-07-18,1,-1.4399999999999977,-1.4399999999999977
2024-07-19,1,5.010000000000019,5.010000000000019
2024-07-22,1,2.0900000000000034,2.0900000000000034
2024-07-23,1,-20.960000000000008,-20.960000000000008
2024-07-24,1,0.8100000000000023,0.8100000000000023
2024-07-25,1,4.650000000000006,4.650000000000006
2024-07-29,1,0.15000000000000568,0.15000000000000568
2024-07-30,1,5.280000000000001,5.280000000000001
2024-08-01,0,0.0,-31.640000000000015
2024-08-05,0,0.0,1.8700000000000045
2024-08-06,0,0.0,-4.939999999999998
2024-08-08,1,0.18000000000000682,0.18000000000000682
2024-08-12,0,0.0,0.9799999999999898
2024-08-13,0,0.0,-0.44000000000002615
2024-08-14,0,0.0,3.640000000000015
2024-08-15,0,0.0,-2.9899999999999807
2024-08-16,0,0.0,0.9499999999999886
2024-08-19,0,0.0,2.1599999999999966
2024-08-20,0,0.0,1.5699999999999932
2024-08-21,0,0.0,0.549999999999983
2024-08-22,0,0.0,3.8000000000000114
2024-08-23,0,0.0,-1.5699999999999932
2024-08-26,0,0.0,0.03999999999999204
2024-08-27,0,0.0,0.5099999999999909
2024-08-28,0,0.0,4.050000000000011
2024-09-03,1,12.890000000000015,12.890000000000015
2024-09-05,1,2.430000000000007,2.430000000000007
2024-09-06,1,5.469999999999999,5.469999999999999
2024-09-09,1,3.799999999999983,3.799999999999983
2024-09-10,1,-1.6199999999999761,-1.6199999999999761
2024-09-11,1,-3.469999999999999,-3.469999999999999
2024-09-12,1,-1.8100000000000023,-1.8100000000000023
2024-09-13,1,-0.9899999999999807,-0.9899999999999807
2024-09-16,1,2.6699999999999875,2.6699999999999875
2024-09-17,1,2.219999999999999,2.219999999999999
2024-09-18,1,14.320000000000022,14.320000000000022
2024-09-20,1,4.360000000000014,4.360000000000014
2024-09-23,1,4.0800000000000125,4.0800000000000125
2024-09-24,1,-1.7300000000000182,-1.7300000000000182
2024-09-25,0,0.0,3.580000000000041
2024-09-26,0,0.0,3.1599999999999966
2024-09-27,1,-1.419999999999959,-1.419999999999959
2024-10-01,0,0.0,-10.46999999999997
2024-10-02,0,0.0,-4.5400000000000205
2024-10-03,0,0.0,8.340000000000003
2024-10-07,0,0.0,2.7299999999999898
2024-10-08,1,-0.6800000000000068,-0.6800000000000068
2024-10-09,1,0.7599999999999909,0.7599999999999909
2024-10-10,1,-18.640000000000015,-18.640000000000015
2024-10-11,0,0.0,2.2099999999999795
2024-10-15,1,1.8300000000000125,1.8300000000000125
2024-10-16,0,0.0,0.2599999999999909
2024-10-17,0,0.0,-1.9899999999999807
2024-10-21,1,-1.539999999999992,-1.539999999999992
2024-10-22,0,0.0,-0.8400000000000034
2024-10-23,1,31.03,31.03
2024-10-24,1,9.519999999999982,9.519999999999982
2024-10-28,0,0.0,2.0
2024-10-29,0,0.0,-1.4799999999999613
2024-10-30,0,0.0,0.4399999999999977
2024-11-01,1,-4.4199999999999875,-4.4199999999999875
2024-11-04,1,4.5,4.5
2024-11-05,1,33.23000000000002,33.23000000000002
2024-11-06,1,0.36000000000001364,0.36000000000001364
2024-11-07,1,45.829999999999984,45.829999999999984
2024-11-12,1,7.360000000000014,7.360000000000014
2024-11-13,1,-2.5500000000000114,-2.5500000000000114
2024-11-14,1,-0.6100000000000136,-0.6100000000000136
2024-11-15,1,20.00999999999999,20.00999999999999
2024-11-18,1,-2.980000000000018,-2.980000000000018
2024-11-19,1,-1.0,-1.0
2024-11-20,1,1.7800000000000296,1.7800000000000296
2024-11-21,1,1.4499999999999886,1.4499999999999886
2024-11-22,1,7.579999999999984,7.579999999999984
2024-11-25,1,2.410000000000025,2.410000000000025
2024-11-26,1,3.569999999999993,3.569999999999993
2024-12-02,1,-5.289999999999964,-5.289999999999964
2024-12-03,1,1.579999999999984,1.579999999999984
2024-12-04,1,1.9399999999999977,1.9399999999999977
2024-12-05,1,28.120000000000005,28.120000000000005
2024-12-09,1,2.8899999999999864,2.8899999999999864
2024-12-10,1,8.70999999999998,8.70999999999998
2024-12-11,1,0.06999999999999318,0.06999999999999318
2024-12-12,1,22.989999999999952,22.989999999999952
2024-12-16,1,12.879999999999995,12.879999999999995
2024-12-17,1,-13.360000000000014,-13.360000000000014
2024-12-18,1,11.75,11.75
2024-12-19,1,-10.660000000000025,-10.660000000000025
2024-12-20,1,9.939999999999998,9.939999999999998
2024-12-23,1,5.2999999999999545,5.2999999999999545
