title,publishedAt,source,url,tesla_sentences,title_sentiment_score,title_sentiment_magnitude
"Tesla Cybertruck gets Mansory’s Elongation treatment – EV pick-up with lots of carbon-fibre, 26-inch wheels",2025-02-28T03:08:10Z,Paul Tan's Automotive News,https://paultan.org/2025/02/28/tesla-cybertruck-gets-mansorys-elongation-treatment/,"German tuning house Mansory has announced its customisation programme for the Tesla Cybertruck, which includes a wide range of parts aimed at making the electric pick-up truck even more attention-grabbing. | Starting with the exterior, the […]
The post Tesla Cy… | German tuning house Mansory has announced its customisation programme for the Tesla Cybertruck, which includes a wide range of parts aimed at making the electric pick-up truck even more attention-gra… [+1247 chars]",0.0,0.0
Tesla Manager Was Fired After Speaking Out Against Musk's Nazi Salute,2025-02-28T18:18:55Z,International Business Times,https://www.ibtimes.com/tesla-manager-was-fired-after-speaking-out-against-musks-nazi-salute-3765007,"Tesla manager Jared Ottmann was fired after criticizing Elon Musk's antisemitic rhetoric and condemning Tesla for its silence and inaction. | Tesla manager Jared Ottmann was fired in a ""retaliatory"" move for calling out CEO Elon Musk for name-dropping Nazi murderers—and Tesla for staying silent.
Last month, Ottmann, a longtime Tesla engin… [+2400 chars]",-0.6000000238418579,0.6000000238418579
Burning Questions About New Cheaper Teslas? Answers. Cost ? Design?,2025-02-27T01:26:45Z,Next Big Future,https://www.nextbigfuture.com/2025/02/burning-questions-about-new-cheaper-teslas-answers-cost-design.html,"Tesla watchers are eagerly waiting for the new cheaper models. | How many will Tesla make each year? | Tesla watchers are eagerly waiting for the new cheaper models.
You have questions, I have answers.
Here I answer all the questions about the new models.
How much will they cost?How many will Tesla… [+1528 chars]",0.0,0.30000001192092896
Land of the Artful Dodgers,2025-02-28T05:00:00Z,Americanthinker.com,https://www.americanthinker.com/articles/2025/02/land_of_the_artful_dodgers.html,"California—the state that gave us Hollywood and Poverty Row, tech billionaires and tent cities, and a budget surplus that vanished faster than a Tesla in Ludicrous Mode—recently revealed a record deficit. | California—the state that gave us Hollywood and Poverty Row, tech billionaires and tent cities, and a budget surplus that vanished faster than a Tesla in Ludicrous Mode—recently revealed a record def… [+8214 chars]",0.0,0.0
Elon Musk Divorced: All About the Tesla CEO’s Love Life,2025-02-28T23:01:22Z,The Hollywood Gossip,http://www.thehollywoodgossip.com/2025/02/elon-musk-divorced/,"Reading Time: 6 minutesElon Musk has had a very tumultuous love life.
Elon Musk Divorced: All About the Tesla CEO’s Love Life was originally published on The Hollywood Gossip.",0.0,0.0
Tesla infotainment review: Tesla UI touchscreen tech tested vs rivals,2025-02-27T10:23:38Z,AutoExpress,https://www.autoexpress.co.uk/exclusive/365995/best-car-infotainment-systems/tesla-ui,"Tesla is a technology giant, but can the Model 3 beat back the competition?",0.0,0.0
Teacher union head taking fight to Elon Musk through Tesla stock,2025-02-27T16:26:07Z,The Hill,https://thehill.com/homenews/education/5167106-aft-randi-weingarten-tesla-investors/,"American Federation of Teachers President Randi Weingarten is urging top Tesla investors to review the company’s current valuation on behalf of her union’s... | American Federation of Teachers President Randi Weingarten is urging top Tesla investors to review the companys current valuation on behalf of her unions members.
Weingarten, who heads one of the la… [+2082 chars]",-0.30000001192092896,0.30000001192092896
What to know about Trump's first Cabinet meeting,2025-02-27T00:51:00Z,CBS News,https://www.cbsnews.com/video/what-know-trumps-first-cabinet-meeting/,The first person he asked to speak was Tesla CEO Elon Musk.,0.20000000298023224,0.20000000298023224
Man Behind Pelosi Stock Tracker Tells Tucker Carlson What Sparked Nation’s Questions On Her Trades,2025-02-27T02:35:24Z,The Daily Caller,https://dailycaller.com/2025/02/26/pelosi-stock-tracking-tucker-carlson/,"Chris Jospehs told Tucker Carlson the Democratic representative husband's purchase of Tesla ""leaps"" sparked national interest in Pelosi's trading.",-0.10000000149011612,0.10000000149011612
Notes from your Neighbors and More Tesla Outrage and other Protests,2025-02-27T17:55:15Z,PoPville,https://www.popville.com/2025/02/notes-from-your-neighbors-more-tesla-hate/,"photo by Fritz Myer Last week there was a protest at the new Tesla dealership in Georgetown. | photo by Jason Gooljar On Tuesday there was a Tesla protest in Arlington. | “The Virtue I’m signaling is HATE”
Thanks to Karen for sending from Capitol Hill.
photo by Fritz Myer
Last week there was a protest at the new Tesla dealership in Georgetown.
photo by Jason Goolj… [+191 chars]",-0.20000000298023224,0.20000000298023224
