date,vader_compound,vader_label
2024-12-14,0.4019,POSITIVE
2024-12-17,0.0,NEUTRAL
2024-12-24,-0.8442,NEGATIVE
2024-12-17,-0.7579,NEGATIVE
2024-12-22,0.7837,POSITIVE
2024-12-22,0.2732,POSITIVE
2024-12-20,0.4215,POSITIVE
2024-12-30,-0.7579,NEGATIVE
2024-12-11,0.3182,POSITIVE
2024-12-18,-0.2732,NEGATIVE
2024-12-13,-0.876,NEGATIVE
2024-12-16,-0.5873,NEGATIVE
2024-12-21,0.0,NEUTRAL
2024-12-14,0.624,POSITIVE
2024-12-30,-0.3182,NEGATIVE
2024-12-27,0.8126,POSITIVE
2024-12-28,-0.2579,NEGATIVE
2024-12-11,0.0,NEUTRAL
2024-12-27,-0.5859,NEGATIVE
2024-12-23,0.3612,POSITIVE
2024-12-02,0.0,NEUTRAL
2024-12-19,0.4019,POSITIVE
2024-12-14,0.0,NEUTRAL
2024-12-12,0.7835,POSITIVE
2024-12-24,0.1531,POSITIVE
2024-12-27,0.0,NEUTRAL
2024-12-20,-0.7044,NEGATIVE
2024-12-29,0.5423,POSITIVE
2024-12-01,0.5267,POSITIVE
2024-12-05,-0.8074,NEGATIVE
2024-12-22,0.3415,POSITIVE
2024-12-14,-0.6654,NEGATIVE
2024-12-02,-0.3102,NEGATIVE
2024-12-21,0.6586,POSITIVE
2024-12-03,0.1263,POSITIVE
2024-12-10,-0.7096,NEGATIVE
2024-12-23,0.1406,POSITIVE
2024-12-19,0.5574,POSITIVE
2024-12-20,-0.2732,NEGATIVE
2024-12-24,-0.4956,NEGATIVE
2024-12-08,0.0,NEUTRAL
2024-12-29,0.7717,POSITIVE
2024-12-20,-0.4939,NEGATIVE
2024-12-26,0.0865,POSITIVE
2024-12-03,0.1027,POSITIVE
2024-12-21,0.1531,POSITIVE
2024-12-18,0.0,NEUTRAL
2024-12-20,-0.5859,NEGATIVE
2024-12-08,-0.7269,NEGATIVE
2024-12-09,0.1725,POSITIVE
2024-12-26,-0.5574,NEGATIVE
2024-12-27,-0.6335,NEGATIVE
2024-12-28,0.0,NEUTRAL
2024-12-23,0.783,POSITIVE
2024-12-15,0.6243,POSITIVE
2024-12-10,0.7959,POSITIVE
2024-12-10,0.1872,POSITIVE
2024-12-27,-0.5106,NEGATIVE
2024-12-20,0.0,NEUTRAL
2024-12-27,-0.2235,NEGATIVE
2024-12-21,-0.7579,NEGATIVE
2024-12-02,0.0,NEUTRAL
2024-12-06,-0.7337,NEGATIVE
2024-12-22,-0.2869,NEGATIVE
2024-12-18,0.875,POSITIVE
2024-12-30,0.6124,POSITIVE
2024-12-03,0.6444,POSITIVE
2024-12-29,-0.1779,NEGATIVE
2024-12-08,-0.296,NEGATIVE
2024-12-15,0.4165,POSITIVE
2024-12-20,-0.128,NEGATIVE
2024-12-17,-0.632,NEGATIVE
2024-12-20,0.8334,POSITIVE
2024-12-10,0.3818,POSITIVE
2024-12-07,0.7691,POSITIVE
2024-12-21,-0.6437,NEGATIVE
2024-12-28,0.4254,POSITIVE
2024-12-19,0.0,NEUTRAL
2024-12-19,0.7239,POSITIVE
2024-12-06,0.0432,NEUTRAL
2024-12-30,0.0,NEUTRAL
2024-12-29,-0.7351,NEGATIVE
2024-12-17,0.1113,POSITIVE
2024-12-04,0.2414,POSITIVE
2024-12-26,-0.4456,NEGATIVE
2024-12-11,0.3182,POSITIVE
