date,open,close
2024-01-02,250.08,248.42
2024-01-03,244.98,238.45
2024-01-04,239.25,237.93
2024-01-05,236.86,237.49
2024-01-08,236.14,240.45
2024-01-09,238.11,234.96
2024-01-10,235.1,233.94
2024-01-11,230.57,227.22
2024-01-12,220.08,218.89
2024-01-16,215.1,219.91
2024-01-17,214.86,215.55
2024-01-18,216.88,211.88
2024-01-19,209.99,212.19
2024-01-22,212.26,208.8
2024-01-23,211.3,209.14
2024-01-24,211.88,207.83
2024-01-25,189.7,182.63
2024-01-26,185.5,183.25
2024-01-29,185.63,190.93
2024-01-30,195.33,191.59
2024-01-31,187.0,187.29
2024-02-01,188.5,188.86
2024-02-02,185.04,187.91
2024-02-05,184.26,181.06
2024-02-06,177.21,185.1
2024-02-07,188.18,187.58
2024-02-08,189.0,189.56
2024-02-09,190.18,193.57
2024-02-12,192.11,188.13
2024-02-13,183.99,184.02
2024-02-14,185.3,188.71
2024-02-15,189.16,200.45
2024-02-16,202.06,199.95
2024-02-20,196.13,193.76
2024-02-21,193.36,194.77
2024-02-22,194.0,197.41
2024-02-23,195.31,191.97
2024-02-26,192.29,199.4
2024-02-27,204.04,199.73
2024-02-28,200.42,202.04
2024-02-29,204.18,201.88
2024-03-01,200.52,202.64
2024-03-04,198.73,188.14
2024-03-05,183.05,180.74
2024-03-06,179.99,176.54
2024-03-07,174.35,178.65
2024-03-08,181.5,175.34
2024-03-11,175.45,177.77
2024-03-12,177.77,177.54
2024-03-13,173.05,169.48
2024-03-14,167.77,162.5
2024-03-15,163.16,163.57
2024-03-18,170.02,173.8
2024-03-19,172.36,171.32
2024-03-20,173.0,175.66
2024-03-21,176.39,172.82
2024-03-22,166.69,170.83
2024-03-25,168.76,172.63
2024-03-26,178.58,177.67
2024-03-27,181.41,179.83
2024-03-28,177.45,175.79
2024-04-01,176.17,175.22
2024-04-02,164.75,166.63
2024-04-03,164.02,168.38
2024-04-04,170.07,171.11
2024-04-05,169.08,164.9
2024-04-08,169.34,172.98
2024-04-09,172.91,176.88
2024-04-10,173.04,171.76
2024-04-11,172.55,174.6
2024-04-12,172.34,171.05
2024-04-15,170.24,161.48
2024-04-16,156.74,157.11
2024-04-17,157.64,155.45
2024-04-18,151.25,149.93
