date,sentiment
2024-11-30,-0.2586956469585066
2024-12-01,-0.5896703386306762
2024-12-02,-0.48685393712326375
2024-12-03,-0.5463366430260168
2024-12-04,-0.508611126124031
2024-12-05,-0.4851515159056042
2024-12-06,-0.412173918006213
2024-12-07,-0.4971212176910855
2024-12-08,-0.45906250386731695
2024-12-09,-0.5080555581963724
2024-12-10,-0.40328947088043937
2024-12-11,-0.42323530297653356
2024-12-12,-0.3998913073977051
2024-12-13,-0.49416667527829616
2024-12-14,-0.3906593470046153
2024-12-15,-0.6055555615988042
2024-12-16,-0.48023530640496936
2024-12-17,-0.4230208402282247
2024-12-18,-0.3297727318006483
2024-12-19,-0.49289772803895177
2024-12-20,-0.5047120478881902
2024-12-21,-0.4041605902164087
2024-12-22,-0.395546223851813
2024-12-23,-0.3397368420608211
2024-12-24,-0.5436144705673298
2024-12-25,-0.4163265397049943
2024-12-26,-0.43250000581861686
2024-12-27,-0.4759027875370036
2024-12-28,-0.5805586732191415
2024-12-29,-0.3983333376167636
2024-12-30,-0.41262500181980427
