date,open,close
2024-12-02,352.3800048828125,357.0899963378906
2024-12-03,351.79998779296875,351.4200134277344
2024-12-04,353.0,357.92999267578125
2024-12-05,359.8699951171875,369.489990234375
2024-12-06,377.4200134277344,389.2200012207031
2024-12-09,397.6099853515625,389.7900085449219
2024-12-10,392.6799926757813,400.989990234375
2024-12-11,409.7000122070313,424.7699890136719
2024-12-12,424.8399963378906,418.1000061035156
2024-12-13,420.0,436.2300109863281
2024-12-16,441.0899963378906,463.0199890136719
2024-12-17,475.8999938964844,479.8599853515625
2024-12-18,466.5,440.1300048828125
2024-12-19,451.8800048828125,436.1700134277344
2024-12-20,425.510009765625,421.05999755859375
2024-12-23,431.0,430.6000061035156
2024-12-24,435.8999938964844,462.2799987792969
2024-12-26,465.1600036621094,454.1300048828125
2024-12-27,449.5199890136719,431.6600036621094
2024-12-30,419.3999938964844,417.4100036621094
