date,open,close,sentiment_sar_go,sentiment_sar_ro,sentiment_sar_va
2024-12-02,352.3800048828125,357.0899963378906,-0.48685393712326375,-0.24938044943820223,0.06848089887640449
2024-12-03,351.79998779296875,351.4200134277344,-0.5463366430260168,-0.14325519607843137,0.2496392156862745
2024-12-04,353.0,357.92999267578125,-0.508611126124031,-0.27001213333333335,0.10668666666666667
2024-12-05,359.8699951171875,369.489990234375,-0.4851515159056042,-0.26981151515151514,0.01745757575757576
2024-12-06,377.4200134277344,389.2200012207031,-0.4451328893927071,-0.2978094743843113,0.05638408001418871
2024-12-09,397.6099853515625,389.7900085449219,-0.5080555581963724,-0.2163268918918919,0.15747297297297297
2024-12-10,392.6799926757813,400.989990234375,-0.40328947088043937,-0.21148571428571425,0.14101688311688312
2024-12-11,409.7000122070313,424.7699890136719,-0.42323530297653356,-0.24366960784313726,0.09551960784313726
2024-12-12,424.8399963378906,418.1000061035156,-0.3998913073977051,-0.25717858695652174,0.12730869565217393
2024-12-13,420.0,436.2300109863281,-0.49613706479000297,-0.27671041524495293,0.03277349193804673
2024-12-16,441.0899963378906,463.0199890136719,-0.48023530640496936,-0.29851905882352936,-0.0019364705882352925
2024-12-17,475.8999938964844,479.8599853515625,-0.4230208402282247,-0.1528942268041237,0.14047938144329897
2024-12-18,466.5,440.1300048828125,-0.3297727318006483,-0.24323853932584266,0.2206573033707865
2024-12-19,451.8800048828125,436.1700134277344,-0.49289772803895177,-0.3459373295454546,0.037657386363636365
2024-12-20,425.510009765625,421.05999755859375,-0.45228272746115056,-0.31729190823434933,0.06096858004631704
2024-12-23,431.0,430.6000061035156,-0.3397368420608211,-0.3256493043478261,0.011133043478260874
2024-12-24,435.8999938964844,462.2799987792969,-0.5436144705673298,-0.3582209638554217,0.03964457831325301
2024-12-26,465.1600036621094,454.1300048828125,-0.43250000581861686,-0.31377716981132076,0.032418867924528305
2024-12-27,449.5199890136719,431.6600036621094,-0.482674396477478,-0.31646917021057475,0.04261834431843882
2024-12-30,419.3999938964844,417.4100036621094,-0.41262500181980427,-0.3392792592592593,0.03125802469135802
