date,sentiment
2024-11-30,-0.20152173913043478
2024-12-01,-0.2513042857142857
2024-12-02,-0.24938044943820223
2024-12-03,-0.14325519607843137
2024-12-04,-0.27001213333333335
2024-12-05,-0.26981151515151514
2024-12-06,-0.332033768115942
2024-12-07,-0.25865651515151517
2024-12-08,-0.2685138461538461
2024-12-09,-0.2163268918918919
2024-12-10,-0.21148571428571425
2024-12-11,-0.24366960784313726
2024-12-12,-0.25717858695652174
2024-12-13,-0.27982194444444447
2024-12-14,-0.2537468131868132
2024-12-15,-0.2934509589041096
2024-12-16,-0.29851905882352936
2024-12-17,-0.1528942268041237
2024-12-18,-0.24323853932584266
2024-12-19,-0.3459373295454546
2024-12-20,-0.36163201030927833
2024-12-21,-0.2443586956521739
2024-12-22,-0.30154491666666666
2024-12-23,-0.3256493043478261
2024-12-24,-0.3582209638554217
2024-12-25,-0.21244899999999997
2024-12-26,-0.31377716981132076
2024-12-27,-0.30366479166666666
2024-12-28,-0.3541261325966851
2024-12-29,-0.30442096491228066
2024-12-30,-0.3392792592592593
